YEAR,DPP4,GLP1,Insulin,SGLT2
2020,0.0017623254352893106,0.07029531513495611,0.022480973446290284,0.0020356921460883202
2021,0.0024095817888561,0.06875078655248336,0.02308206035284315,0.001802733596585541
2022,0.0034372488425553948,0.06403040313226563,0.023315561039160923,0.0006975417643382863
2023,0.003351922323702718,0.07119193486979838,0.023075372322334028,0.0006024259998198126
2024,0.0014211083100394717,0.780516143409911,0.015727857827771557,0.0005900134765557042
2025,0.0008255284737742142,0.9997714622208124,0.012299806076356896,0.0009599936137569154
